Date;PBI
Ene03;73.22236974
Feb03;71.07943228
Mar03;74.34272311
Abr03;80.6677115
May03;83.22264584
Jun03;80.85377447
Jul03;79.20701714
Ago03;74.21201385
Sep03;73.86783537
Oct03;77.59891351
Nov03;75.57253863
Dic03;78.00973241
Ene04;75.91326693
Feb04;74.09743592
Mar04;78.63546298
Abr04;84.09447213
May04;86.51057023
Jun04;83.28745901
Jul04;82.10675132
Ago04;77.51462292
Sep04;77.40259383
Oct04;79.63245516
Nov04;82.71956352
Dic04;85.65030207
Ene05;79.97916109
Feb05;80.13445991
Mar05;81.39641299
Abr05;87.07344703
May05;92.1414551
Jun05;88.455773
Jul05;87.27660063
Ago05;82.98948311
Sep05;82.08786653
Oct05;84.80272393
Nov05;90.49511762
Dic05;91.54592669
Ene06;85.65904249
Feb06;84.62852209
Mar06;91.22869284
Abr06;91.77800236
May06;97.76190634
Jun06;95.07289981
Jul06;92.96160012
Ago06;91.55476273
Sep06;88.7693296
Oct06;92.18220667
Nov06;94.78742123
Dic06;99.41835876
Ene07;89.95256199
Feb07;88.66810221
Mar07;96.72143463
Abr07;96.63641931
May07;104.7466788
Jun07;101.2545686
Jul07;102.5451392
Ago07;100.1286684
Sep07;100.2404207
Oct07;103.1513308
Nov07;104.0996969
Dic07;111.8549784
Ene08;98.50703121
Feb08;100.6721598
Mar08;104.083131
Abr08;110.233179
May08;112.0757296
Jun08;112.1666591
Jul08;112.2978611
Ago08;108.8873851
Sep08;110.7383176
Oct08;111.6523159
Nov08;110.6550536
Dic08;117.4601528
Ene09;102.9531283
Feb09;101.0298688
Mar09;107.1498159
Abr09;108.8425318
May09;114.2142793
Jun09;108.9639684
Jul09;110.73597
Ago09;109.8514222
Sep09;111.0021936
Oct09;113.0638042
Nov09;113.6043085
Dic09;122.3714173
Ene10;106.1436828
Feb10;106.178126
Mar10;115.8678389
Abr10;117.5272181
May10;122.8282257
Jun10;122.9395044
Jul10;121.7109437
Ago10;119.4342025
Sep10;122.1747332
Oct10;123.7218293
Nov10;123.6490822
Dic10;131.9394152
Ene11;116.2946708
Feb11;114.7322249
Mar11;124.771191
Abr11;126.2399543
May11;129.6358689
Jun11;126.6086968
Jul11;129.0910884
Ago11;127.1732971
Sep11;128.1664703
Oct11;129.2346958
Nov11;129.5110077
Dic11;143.3587919
Ene12;122.6371477
Feb12;122.8281882
Mar12;132.0811421
Abr12;130.2893579
May12;138.6033638
Jun12;136.1482031
Jul12;138.4529429
Ago12;136.1554762
Sep12;136.8123688
Oct12;138.8193818
Nov12;137.3661736
Dic12;148.2846684
Ene13;130.5524838
Feb13;129.0750531
Mar13;136.7121992
Abr13;141.7826339
May13;144.5149998
Jun13;144.119297
Jul13;145.8087796
Ago13;143.6502118
Sep13;143.4652378
Oct13;147.4377318
Nov13;147.360542
Dic13;158.7083864
Ene14;136.0742637
Feb14;135.7973717
Mar14;144.1119159
Abr14;145.9253528
May14;148.2602221
Jun14;144.6681145
Jul14;147.9226432
Ago14;145.5953154
Sep14;147.3018512
Oct14;150.7900429
Nov14;147.601135
Dic14;159.9764502
Ene15;138.1976868
Feb15;137.4702995
Mar15;148.3397784
Abr15;152.0386047
May15;150.1571922
Jun15;150.578547
Jul15;153.2529088
Ago15;149.4818671
Sep15;151.9992292
Oct15;155.7301207
Nov15;153.4241148
Dic15;170.3915767
Ene16;143.1005209
Feb16;146.3162938
Mar16;153.6206873
Abr16;156.2722298
May16;157.496837
Jun16;155.9774188
Jul16;158.742284
Ago16;158.1113383
Sep16;158.8457881
Oct16;159.111358
Nov16;158.7951389
Dic16;176.2795138
Ene17;150.3112111
Feb17;147.4860069
Mar17;155.415035
Abr17;156.7563093
May17;163.2491346
Jun17;162.1643364
Jul17;162.276265
Ago17;162.6262395
Sep17;164.1689734
Oct17;164.859118
Nov17;162.035997
Dic17;178.809369
Ene18;154.5982477
Feb18;151.4690394
Mar18;161.4348053
Abr18;169.4243865
May18;174.2025481
Jun18;165.5325928
Jul18;166.5187277
Ago18;166.4127034
Sep18;168.1058365
Oct18;171.6034421
Nov18;170.2408848
Dic18;187.2295333
Ene19;157.1868023
Feb19;154.6033488
Mar19;166.8835139
Abr19;169.39801
May19;175.3816593
Jun19;170.1834848
Jul19;173.0579024
Ago19;172.5982439
Sep19;172.3753326
Oct19;176.2619876
Nov19;174.2068122
Dic19;189.6000375
Ene20;162.4756864
Feb20;161.805312
Mar20;137.6506486
Abr20;102.878185
May20;118.0021796
Jun20;139.34329
Jul20;153.9526658
Ago20;156.6564373
Sep20;162.124826
Oct20;170.3990766
Nov20;170.356432
Dic20;191.3718048
Ene21;160.8710519
Feb21;155.6338362
Mar21;164.9513965
Abr21;164.5624634
May21;175.3733488
Jun21;172.0483414
Jul21;174.3088763
Ago21;175.283405
Sep21;178.2572143
Oct21;178.4820174
Nov21;176.3326416
Dic21;194.8096905
Ene22;165.7370365
Feb22;163.2390262
Mar22;171.3216367
Abr22;171.1831926
May22;179.9816674
Jun22;178.0731977
Jul22;177.4352469
Ago22;178.7553472
Sep22;181.9839996
Oct22;182.6254188
Nov22;179.6428223
Dic22;196.490692
Ene23;164.0465187
